serial_no,facility_name,provider_type,state,lga,city,address,phone,email,accreditation_hint,latitude,longitude,geocode_status,source_url,extracted_at,source_code
nhia_hcp_0459,Jilf Clinic Ent.,clinic,FCT,,Abuja,Plot D 231 Crescent By 232 Road Kado Estate.,,,NHIA directory code FCT/0115/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0115/P
nhia_hcp_0460,Kefat Medical Centre,clinic,FCT,Abuja Municipal Area Council,Abuja,"No 5 Damaturu Close, Behind Mr.Biggs, FHA, Gwarinpa",,,NHIA directory code FCT/0382/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0382/P
nhia_hcp_0461,Kinectic Hospital,hospital,FCT,Abuja Municipal Area Council,Abuja,"Plot 877 Ahoada Close off Emeka Anyaoku Behind NTA HQ, Area II, Garki.",,,NHIA directory code FCT/0150/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0150/P
nhia_hcp_0462,Kings Care Hospital - Wuse,hospital,FCT,Abuja Municipal Area Council,Abuja,"Wuse Zone 4, Abuja",,,NHIA directory code FCT/0132/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0132/P
nhia_hcp_0463,Kings Care Hospital Ltd - Kubwa,hospital,FCT,Bwari,Abuja,"Plot 2181, Ibrahim Babantida Way, P.O.Box 8163, Wuse Zone 4, Abuja. 7, Christmas Road, Behind Police Affairs Quarters, Phase 4, Kubwa Abuja.",,,NHIA directory code FCT/0040/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0040/P
nhia_hcp_0464,Kodesh Hospital LTD,hospital,FCT,,Abuja,"No 1, Close 5, Phase2, Army Housing Estate,Kurudu, Abuja. F.C.T",,,NHIA directory code FCT/0726/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0726/P
nhia_hcp_0465,Kubwa Clinic & Maternity,clinic,FCT,Bwari,Abuja,"Plot159b Kubwa, Behind Channel 8 Restaurant, P.O.Box 74 Kubwa, Abuja.",,,NHIA directory code FCT/0043/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0043/P
nhia_hcp_0466,Kubwa General Hospital,hospital,FCT,Bwari,Abuja,"Phase 4 Opp. GSS, Kubwa, Abuja.",,,NHIA directory code FCT/0047/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0047/P
nhia_hcp_0467,Kubwa Muslim Community Hospital (KMC),hospital,FCT,Bwari,Abuja,"PHASE 4, OPPOSITE JUMAT MOSQUE, KUBWA, ABUJA",,,NHIA directory code FCT/0595/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0595/P
nhia_hcp_0468,Kuje General Hospital,hospital,FCT,Kuje,Abuja,"Kuje, Abuja.",,,NHIA directory code FCT/0425/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0425/P
